OpptyNum,Topic,(IG)CustomerContactIndexValue,ContactName,(IG)CustomerAccountIndex,Account,Contact,Budget Amount,Created On,Est. Close Date,Actual Close Date,Est. Revenue,Actual Revenue,(IG)ForecastCatIndex,Forecast category,(IG)SalesStageIndex,Sales Stage,(IG)StatusIndex,Status,(IG)StatusReasonIndex,Status Reason,(IG)PurchaseTimeframeIndex,Purchase Timeframe,Close Probability,)IG)PurchaseProcessIndex,Purchase Process,Owner,Created By,Price List,Revenue,Currency,Description
30021,[30021] Opportunity for Mattel $48570.83 This Year,201259,Linda Phillips,100593,Mattel,Linda.Phillips201259@notadomain.test,63079,2/28/2022,2/28/2022,2/28/2022,48570.83,0,6,Lost,2,Develop,3,Lost,5,Out-Sold,4,This Year,54,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30022,[30022] Opportunity for Penn Mutual Life Insurance $2239.83 Immediate,201658,Paul Roberts,100667,Penn Mutual Life Insurance,Paul.Roberts201658@notadomain.test,5463,4/29/2022,8/16/2022,,2239.83,,4,Omitted,1,Qualify,1,Open,2,On Hold,1,Immediate,53,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30023,[30023] Opportunity for Eastman Chemical $36212.4 This Year,204678,Laura Gebhart,100343,Eastman Chemical,Laura.Gebhart204678@notadomain.test,50295,4/19/2022,4/19/2022,4/19/2022,36212.4,0,6,Lost,4,Close,3,Lost,4,Canceled,4,This Year,2,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30024,[30024] Opportunity for Synchrony Financial $10192 Immediate,203757,Bob Evans,100170,Synchrony Financial,Bob.Evans203757@notadomain.test,11200,4/9/2022,4/9/2022,4/9/2022,10192,0,6,Lost,3,Propose,3,Lost,5,Out-Sold,1,Immediate,20,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30025,[30025] Opportunity for PayPal Holdings $23134.8 Unknown,202538,Terry Nguyen,100182,PayPal Holdings,Terry.Nguyen202538@notadomain.test,44490,3/3/2022,7/3/2022,,23134.8,,2,Best case,1,Qualify,1,Open,1,In Progress,5,Unknown,0,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30026,[30026] Opportunity for Las Vegas Sands $936.34 This Year,201449,Steven Washington,100235,Las Vegas Sands,Steven.Washington201449@notadomain.test,46817,3/6/2022,7/3/2022,,936.34,,3,Committed,1,Qualify,1,Open,1,In Progress,4,This Year,52,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30027,[30027] Opportunity for Puget Energy $74564.1 Unknown,201577,Michelle Wright,100710,Puget Energy,Michelle.Wright201577@notadomain.test,95595,5/13/2022,5/13/2022,5/13/2022,74564.1,0,6,Lost,1,Qualify,3,Lost,4,Canceled,5,Unknown,31,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30028,[30028] Opportunity for Marriott International $23847.48 Next Quarter,202710,Susan White,100157,Marriott International,Susan.White202710@notadomain.test,44162,3/8/2022,3/8/2022,3/8/2022,23847.48,0,6,Lost,1,Qualify,3,Lost,4,Canceled,3,Next Quarter,100,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30029,[30029] Opportunity for BlackRock $24514.56 This Year,202483,Gary Robinson,100219,BlackRock,Gary.Robinson202483@notadomain.test,64512,5/2/2022,5/2/2022,5/2/2022,24514.56,24514.56,5,Won,3,Propose,2,Won,3,Won,4,This Year,95,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30030,[30030] Opportunity for Citigroup $11706.8 Unknown,202210,James White,100031,Citigroup,James.White202210@notadomain.test,41810,5/3/2022,5/3/2022,5/3/2022,11706.8,0,6,Lost,2,Develop,3,Lost,5,Out-Sold,5,Unknown,51,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30031,[30031] Opportunity for AbbVie $10423.2 This Year,200390,Jacob Wills,100099,AbbVie,Jacob.Wills200390@notadomain.test,86860,3/22/2022,3/22/2022,3/22/2022,10423.2,0,6,Lost,1,Qualify,3,Lost,5,Out-Sold,4,This Year,21,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30032,[30032] Opportunity for Exelon $35684.28 This Quarter,200613,Ashley Davis,100095,Exelon,Ashley.Davis200613@notadomain.test,62604,2/27/2022,2/27/2022,2/27/2022,35684.28,0,6,Lost,2,Develop,3,Lost,5,Out-Sold,2,This Quarter,72,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30033,[30033] Opportunity for Estée Lauder $9816.48 This Year,200684,Nicholas Hernandez,100215,Estée Lauder,Nicholas.Hernandez200684@notadomain.test,20451,4/16/2022,4/16/2022,4/16/2022,9816.48,9816.48,5,Won,1,Qualify,2,Won,3,Won,4,This Year,1,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30034,[30034] Opportunity for Bio-Rad Laboratories $15381.6 Next Quarter,203188,Kim Williams,100917,Bio-Rad Laboratories,Kim.Williams203188@notadomain.test,53040,5/23/2022,7/29/2022,,15381.6,,3,Committed,3,Propose,1,Open,1,In Progress,3,Next Quarter,47,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30035,[30035] Opportunity for JELD-WEN Holding $27926.3 Unknown,202547,Kim Davis,100618,JELD-WEN Holding,Kim.Davis202547@notadomain.test,28790,3/24/2022,6/30/2022,,27926.3,,4,Omitted,1,Qualify,1,Open,2,On Hold,5,Unknown,94,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30036,[30036] Opportunity for Trinity Industries $30854.81 Unknown,202359,Linda Tompson,100781,Trinity Industries,Linda.Tompson202359@notadomain.test,62969,3/11/2022,3/11/2022,3/11/2022,30854.81,0,6,Lost,2,Develop,3,Lost,5,Out-Sold,5,Unknown,73,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30037,[30037] Opportunity for JPMorgan Chase $4945.4 This Quarter,202456,Cherie Roberts,100017,JPMorgan Chase,Cherie.Roberts202456@notadomain.test,6260,3/3/2022,3/3/2022,3/3/2022,4945.4,0,6,Lost,4,Close,3,Lost,5,Out-Sold,2,This Quarter,65,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30038,[30038] Opportunity for Skyworks Solutions $9376.71 This Quarter,200526,Laura Lo,100714,Skyworks Solutions,Laura.Lo200526@notadomain.test,44651,4/11/2022,4/11/2022,4/11/2022,9376.71,9376.71,5,Won,4,Close,2,Won,3,Won,2,This Quarter,17,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30039,[30039] Opportunity for Newell Brands $44551.62 Immediate,202259,Susan Flores,100316,Newell Brands,Susan.Flores202259@notadomain.test,55002,3/1/2022,8/13/2022,,44551.62,,3,Committed,3,Propose,1,Open,1,In Progress,1,Immediate,40,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30040,[30040] Opportunity for Syneos Health $12832.5 Unknown,200281,Cynthia Lopez,100577,Syneos Health,Cynthia.Lopez200281@notadomain.test,14750,3/6/2022,3/6/2022,3/6/2022,12832.5,12832.5,5,Won,3,Propose,2,Won,3,Won,5,Unknown,83,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30041,[30041] Opportunity for Vail Resorts $85057.68 Unknown,202096,Ryan Wills,100929,Vail Resorts,Ryan.Wills202096@notadomain.test,92454,3/30/2022,3/30/2022,3/30/2022,85057.68,85057.68,5,Won,4,Close,2,Won,3,Won,5,Unknown,23,3,Unknown,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30042,[30042] Opportunity for Booking Holdings $40572.43 This Year,204785,Susan Valeros,100210,Booking Holdings,Susan.Valeros204785@notadomain.test,45587,2/26/2022,7/9/2022,,40572.43,,3,Committed,3,Propose,1,Open,2,On Hold,4,This Year,44,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30043,[30043] Opportunity for Maximus $39731.56 Next Quarter,202062,Nicholas Jones,100808,Maximus,Nicholas.Jones202062@notadomain.test,90299,4/12/2022,4/12/2022,4/12/2022,39731.56,0,6,Lost,4,Close,3,Lost,5,Out-Sold,3,Next Quarter,36,2,Committee,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30044,[30044] Opportunity for Modine Manufacturing $975.81 Next Quarter,202794,Jim Mitchell,100943,Modine Manufacturing,Jim.Mitchell202794@notadomain.test,8871,5/6/2022,5/6/2022,5/6/2022,975.81,975.81,5,Won,3,Propose,2,Won,3,Won,3,Next Quarter,2,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
30045,[30045] Opportunity for Groupon $525.36 Immediate,204232,Sandra Smith,100940,Groupon,Sandra.Smith204232@notadomain.test,1194,5/10/2022,5/10/2022,5/10/2022,525.36,0,6,Lost,1,Qualify,3,Lost,5,Out-Sold,1,Immediate,91,1,Individual,Alan Garcia,Alan Garcia,Standard Price List,System Generated,US Dollar,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
