Import Sequence Number,Subject,Date Created,Start Date,Actual Start,Actual End,Priority,(IG)RegardingType,(IG)RegardingIndex,RegardingIndexID,RegardingName,Activity Status,Status Reason,Description
100022,Site visit: Opportunity: [31777] Opportunity for Middleby $37519.35 Immediate,3/14/2022,3/23/2022,3/23/2022,3/23/2022,Low ,3,Opportunity,31777,[31777] Opportunity for Middleby $37519.35 Immediate,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100023,Onsite: Opportunity: [30175] Opportunity for Groupon $4219.52 This Year,5/7/2022,5/10/2022,5/10/2022,5/10/2022,Normal,3,Opportunity,30175,[30175] Opportunity for Groupon $4219.52 This Year,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100024,Internal meeting: Contact: Bonnie Evans,5/12/2022,5/21/2022,5/21/2022,5/21/2022,Normal,2,Contact,203534,Bonnie Evans,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100025,Site visit: Opportunity: [31233] Opportunity for GoDaddy $21836.36 Unknown,3/25/2022,3/28/2022,3/28/2022,3/28/2022,High,3,Opportunity,31233,[31233] Opportunity for GoDaddy $21836.36 Unknown,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100026,Discovery meeting: Case: [11869] Problem: Kathleen Allen at PolyOne,5/7/2022,5/16/2022,5/16/2022,5/16/2022,High,4,Case,11869,[11869] Problem: Kathleen Allen at PolyOne,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100027,Demo: Case: [14047] Problem: Cynthia Hernandez at Coca-Cola Consolidated,3/30/2022,4/2/2022,4/2/2022,4/2/2022,Normal,4,Case,14047,[14047] Problem: Cynthia Hernandez at Coca-Cola Consolidated,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100028,Demo: Opportunity: [32287] Opportunity for Trimble $10215.99 This Year,2/27/2022,3/4/2022,3/4/2022,3/4/2022,Normal,3,Opportunity,32287,[32287] Opportunity for Trimble $10215.99 This Year,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100029,Site visit: Contact: Bob Mitchell,3/6/2022,3/14/2022,3/14/2022,3/14/2022,High,2,Contact,202850,Bob Mitchell,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100030,Discovery meeting: Opportunity: [30531] Opportunity for Centene $4499.64 This Quarter,5/24/2022,6/1/2022,6/1/2022,6/1/2022,Normal,3,Opportunity,30531,[30531] Opportunity for Centene $4499.64 This Quarter,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100031,Internal meeting: Opportunity: [33969] Opportunity for HollyFrontier $77684.04 Next Quarter,5/5/2022,5/7/2022,5/7/2022,5/7/2022,Low ,3,Opportunity,33969,[33969] Opportunity for HollyFrontier $77684.04 Next Quarter,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100032,Discovery meeting: Contact: Fred Black,3/8/2022,3/11/2022,3/11/2022,3/11/2022,High,2,Contact,204485,Fred Black,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100033,Internal meeting: Case: [10258] Problem: Brad Roberts at Cinemark Holdings,3/16/2022,3/16/2022,3/16/2022,3/16/2022,Low ,4,Case,10258,[10258] Problem: Brad Roberts at Cinemark Holdings,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100034,Demo: Opportunity: [31891] Opportunity for Land O'Lakes $24522.75 Next Quarter,3/2/2022,3/10/2022,3/10/2022,3/10/2022,Low ,3,Opportunity,31891,[31891] Opportunity for Land O'Lakes $24522.75 Next Quarter,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100035,Design meeting: Opportunity: [30172] Opportunity for Kohl's $16672.24 Next Quarter,5/7/2022,5/7/2022,5/7/2022,5/7/2022,Normal,3,Opportunity,30172,[30172] Opportunity for Kohl's $16672.24 Next Quarter,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100036,Planning discussions: Account: Magellan Health,4/7/2022,4/11/2022,4/11/2022,4/11/2022,Low ,1,Account,100432,Magellan Health,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100037,Meeting:  Opportunity: [33480] Opportunity for Raytheon Technologies $2677.44 Unknown,4/18/2022,4/24/2022,4/24/2022,4/24/2022,Normal,3,Opportunity,33480,[33480] Opportunity for Raytheon Technologies $2677.44 Unknown,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100038,Follow up: Contact: Ryan Jones,4/9/2022,4/18/2022,4/18/2022,4/18/2022,Normal,2,Contact,202080,Ryan Jones,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100039,Discovery meeting: Account: Interactive Brokers Group,4/29/2022,5/7/2022,5/7/2022,5/7/2022,Normal,1,Account,100862,Interactive Brokers Group,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100040,Site visit: Case: [15121] Problem: Bill Hill at Abbott Laboratories,3/28/2022,3/30/2022,3/30/2022,3/30/2022,Low ,4,Case,15121,[15121] Problem: Bill Hill at Abbott Laboratories,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100041,Discovery meeting: Case: [12170] Question: Lisa Smith at National Oilwell Varco,3/14/2022,3/20/2022,3/20/2022,3/20/2022,Normal,4,Case,12170,[12170] Question: Lisa Smith at National Oilwell Varco,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100042,Planning discussions: Account: AIG,3/8/2022,3/8/2022,3/8/2022,3/8/2022,High,1,Account,100066,AIG,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100043,Site visit: Case: [10179] Question: Debbie Jones at Popular,4/9/2022,4/9/2022,4/9/2022,4/9/2022,High,4,Case,10179,[10179] Question: Debbie Jones at Popular,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100044,Demo: Case: [14773] Question: John Roberts at HEICO,4/22/2022,4/24/2022,4/24/2022,4/24/2022,High,4,Case,14773,[14773] Question: John Roberts at HEICO,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100045,Design meeting: Opportunity: [31549] Opportunity for Sabre $7624.26 This Quarter,3/13/2022,3/19/2022,3/19/2022,3/19/2022,High,3,Opportunity,31549,[31549] Opportunity for Sabre $7624.26 This Quarter,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
100046,Design meeting: Contact: John King,5/3/2022,5/3/2022,5/3/2022,5/3/2022,High,2,Contact,202832,John King,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
